new value: 4
### Running wrk with 5 cores and 16 client threads, 32 connections and 4KB value size for 8 seconds with mtu 9000
throughput: 6.03 Gbps
### Running wrk with 5 cores and 16 client threads, 64 connections and 4KB value size for 8 seconds with mtu 9000
throughput: 7.952 Gbps
### Running wrk with 5 cores and 16 client threads, 128 connections and 4KB value size for 8 seconds with mtu 9000
throughput: 8.713 Gbps
### Running wrk with 5 cores and 16 client threads, 256 connections and 4KB value size for 8 seconds with mtu 9000
throughput: 7.917 Gbps
### Running wrk with 5 cores and 16 client threads, 512 connections and 4KB value size for 8 seconds with mtu 9000
throughput: 6.839 Gbps
### Running wrk with 5 cores and 16 client threads, 1024 connections and 4KB value size for 8 seconds with mtu 9000
throughput: 5.907 Gbps
### Running wrk with 5 cores and 32 client threads, 64 connections and 4KB value size for 8 seconds with mtu 9000
throughput: 4.716 Gbps
### Running wrk with 5 cores and 32 client threads, 128 connections and 4KB value size for 8 seconds with mtu 9000
throughput: 5.847 Gbps
### Running wrk with 5 cores and 32 client threads, 256 connections and 4KB value size for 8 seconds with mtu 9000
throughput: 5.789 Gbps
### Running wrk with 5 cores and 32 client threads, 512 connections and 4KB value size for 8 seconds with mtu 9000
throughput: 5.684 Gbps
### Running wrk with 5 cores and 32 client threads, 1024 connections and 4KB value size for 8 seconds with mtu 9000
throughput: 5.164 Gbps
### Running wrk with 5 cores and 64 client threads, 128 connections and 4KB value size for 8 seconds with mtu 9000
throughput: 5.204 Gbps
### Running wrk with 5 cores and 64 client threads, 256 connections and 4KB value size for 8 seconds with mtu 9000
throughput: 5.16 Gbps
### Running wrk with 5 cores and 64 client threads, 512 connections and 4KB value size for 8 seconds with mtu 9000
throughput: 5.081 Gbps
### Running wrk with 5 cores and 64 client threads, 1024 connections and 4KB value size for 8 seconds with mtu 9000
throughput: 5.16 Gbps
### Running wrk with 5 cores and 128 client threads, 256 connections and 4KB value size for 8 seconds with mtu 9000
throughput: 4.93 Gbps
### Running wrk with 5 cores and 128 client threads, 512 connections and 4KB value size for 8 seconds with mtu 9000
throughput: 5.14 Gbps
### Running wrk with 5 cores and 128 client threads, 1024 connections and 4KB value size for 8 seconds with mtu 9000
throughput: 4.971 Gbps
### Running wrk with 5 cores and 256 client threads, 512 connections and 4KB value size for 8 seconds with mtu 9000
throughput: 4.854 Gbps
### Running wrk with 5 cores and 256 client threads, 1024 connections and 4KB value size for 8 seconds with mtu 9000
throughput: 5.119 Gbps
new value: 8
### Running wrk with 5 cores and 16 client threads, 32 connections and 8KB value size for 8 seconds with mtu 9000
throughput: 5.128 Gbps
### Running wrk with 5 cores and 16 client threads, 64 connections and 8KB value size for 8 seconds with mtu 9000
throughput: 8.067 Gbps
### Running wrk with 5 cores and 16 client threads, 128 connections and 8KB value size for 8 seconds with mtu 9000
throughput: 9.447 Gbps
### Running wrk with 5 cores and 16 client threads, 256 connections and 8KB value size for 8 seconds with mtu 9000
throughput: 9.848 Gbps
### Running wrk with 5 cores and 16 client threads, 512 connections and 8KB value size for 8 seconds with mtu 9000
throughput: 9.673 Gbps
### Running wrk with 5 cores and 16 client threads, 1024 connections and 8KB value size for 8 seconds with mtu 9000
throughput: 9.117 Gbps
### Running wrk with 5 cores and 32 client threads, 64 connections and 8KB value size for 8 seconds with mtu 9000
throughput: 7.908 Gbps
### Running wrk with 5 cores and 32 client threads, 128 connections and 8KB value size for 8 seconds with mtu 9000
throughput: 9.503 Gbps
### Running wrk with 5 cores and 32 client threads, 256 connections and 8KB value size for 8 seconds with mtu 9000
throughput: 10.065 Gbps
### Running wrk with 5 cores and 32 client threads, 512 connections and 8KB value size for 8 seconds with mtu 9000
throughput: 9.837 Gbps
### Running wrk with 5 cores and 32 client threads, 1024 connections and 8KB value size for 8 seconds with mtu 9000
throughput: 9.468 Gbps
### Running wrk with 5 cores and 64 client threads, 128 connections and 8KB value size for 8 seconds with mtu 9000
throughput: 9.521 Gbps
### Running wrk with 5 cores and 64 client threads, 256 connections and 8KB value size for 8 seconds with mtu 9000
throughput: 9.586 Gbps
### Running wrk with 5 cores and 64 client threads, 512 connections and 8KB value size for 8 seconds with mtu 9000
throughput: 9.631 Gbps
### Running wrk with 5 cores and 64 client threads, 1024 connections and 8KB value size for 8 seconds with mtu 9000
throughput: 9.704 Gbps
### Running wrk with 5 cores and 128 client threads, 256 connections and 8KB value size for 8 seconds with mtu 9000
throughput: 9.424 Gbps
### Running wrk with 5 cores and 128 client threads, 512 connections and 8KB value size for 8 seconds with mtu 9000
throughput: 10.175 Gbps
### Running wrk with 5 cores and 128 client threads, 1024 connections and 8KB value size for 8 seconds with mtu 9000
throughput: 9.366 Gbps
### Running wrk with 5 cores and 256 client threads, 512 connections and 8KB value size for 8 seconds with mtu 9000
throughput: 9.612 Gbps
### Running wrk with 5 cores and 256 client threads, 1024 connections and 8KB value size for 8 seconds with mtu 9000
throughput: 9.658 Gbps
new value: 16
### Running wrk with 5 cores and 16 client threads, 32 connections and 16KB value size for 8 seconds with mtu 9000
throughput: 8.304 Gbps
### Running wrk with 5 cores and 16 client threads, 64 connections and 16KB value size for 8 seconds with mtu 9000
throughput: 12.541 Gbps
### Running wrk with 5 cores and 16 client threads, 128 connections and 16KB value size for 8 seconds with mtu 9000
throughput: 15.293 Gbps
### Running wrk with 5 cores and 16 client threads, 256 connections and 16KB value size for 8 seconds with mtu 9000
throughput: 16.285 Gbps
### Running wrk with 5 cores and 16 client threads, 512 connections and 16KB value size for 8 seconds with mtu 9000
throughput: 16.94 Gbps
### Running wrk with 5 cores and 16 client threads, 1024 connections and 16KB value size for 8 seconds with mtu 9000
throughput: 16.845 Gbps
### Running wrk with 5 cores and 32 client threads, 64 connections and 16KB value size for 8 seconds with mtu 9000
throughput: 13.49 Gbps
### Running wrk with 5 cores and 32 client threads, 128 connections and 16KB value size for 8 seconds with mtu 9000
throughput: 16.363 Gbps
### Running wrk with 5 cores and 32 client threads, 256 connections and 16KB value size for 8 seconds with mtu 9000
throughput: 17.086 Gbps
### Running wrk with 5 cores and 32 client threads, 512 connections and 16KB value size for 8 seconds with mtu 9000
throughput: 17.793 Gbps
### Running wrk with 5 cores and 32 client threads, 1024 connections and 16KB value size for 8 seconds with mtu 9000
throughput: 17.491 Gbps
### Running wrk with 5 cores and 64 client threads, 128 connections and 16KB value size for 8 seconds with mtu 9000
throughput: 16.242 Gbps
### Running wrk with 5 cores and 64 client threads, 256 connections and 16KB value size for 8 seconds with mtu 9000
throughput: 17.311 Gbps
### Running wrk with 5 cores and 64 client threads, 512 connections and 16KB value size for 8 seconds with mtu 9000
throughput: 17.358 Gbps
### Running wrk with 5 cores and 64 client threads, 1024 connections and 16KB value size for 8 seconds with mtu 9000
throughput: 17.304 Gbps
### Running wrk with 5 cores and 128 client threads, 256 connections and 16KB value size for 8 seconds with mtu 9000
throughput: 16.572 Gbps
