throughput: 45.176 Gbps
### Running wrk with 8 cores and 64 client threads, 128 connections and 64KB value size for 12 seconds with mtu 9000
throughput: 36.934 Gbps
### Running wrk with 8 cores and 64 client threads, 256 connections and 64KB value size for 12 seconds with mtu 9000
throughput: 44.257 Gbps
### Running wrk with 8 cores and 64 client threads, 512 connections and 64KB value size for 12 seconds with mtu 9000
throughput: 44.379 Gbps
new value: 128
### Running wrk with 8 cores and 16 client threads, 64 connections and 128KB value size for 12 seconds with mtu 9000
throughput: 63.04 Gbps
### Running wrk with 8 cores and 16 client threads, 128 connections and 128KB value size for 12 seconds with mtu 9000
throughput: 67.28 Gbps
### Running wrk with 8 cores and 16 client threads, 256 connections and 128KB value size for 12 seconds with mtu 9000
throughput: 72.48 Gbps
### Running wrk with 8 cores and 16 client threads, 512 connections and 128KB value size for 12 seconds with mtu 9000
throughput: 66.64 Gbps
### Running wrk with 8 cores and 32 client threads, 64 connections and 128KB value size for 12 seconds with mtu 9000
throughput: 63.44 Gbps
### Running wrk with 8 cores and 32 client threads, 128 connections and 128KB value size for 12 seconds with mtu 9000
throughput: 72.32 Gbps
### Running wrk with 8 cores and 32 client threads, 256 connections and 128KB value size for 12 seconds with mtu 9000
throughput: 74.48 Gbps
### Running wrk with 8 cores and 32 client threads, 512 connections and 128KB value size for 12 seconds with mtu 9000
throughput: 72.8 Gbps
### Running wrk with 8 cores and 64 client threads, 128 connections and 128KB value size for 12 seconds with mtu 9000
throughput: 73.04 Gbps
### Running wrk with 8 cores and 64 client threads, 256 connections and 128KB value size for 12 seconds with mtu 9000
throughput: 73.2 Gbps
### Running wrk with 8 cores and 64 client threads, 512 connections and 128KB value size for 12 seconds with mtu 9000
throughput: 72.16 Gbps
new value: 256
### Running wrk with 8 cores and 16 client threads, 64 connections and 256KB value size for 12 seconds with mtu 9000
throughput: 75.52 Gbps
### Running wrk with 8 cores and 16 client threads, 128 connections and 256KB value size for 12 seconds with mtu 9000
throughput: 82.4 Gbps
### Running wrk with 8 cores and 16 client threads, 256 connections and 256KB value size for 12 seconds with mtu 9000
throughput: 82.64 Gbps
### Running wrk with 8 cores and 16 client threads, 512 connections and 256KB value size for 12 seconds with mtu 9000
throughput: 80.24 Gbps
### Running wrk with 8 cores and 32 client threads, 64 connections and 256KB value size for 12 seconds with mtu 9000
throughput: 84.16 Gbps
### Running wrk with 8 cores and 32 client threads, 128 connections and 256KB value size for 12 seconds with mtu 9000
throughput: 87.52 Gbps
### Running wrk with 8 cores and 32 client threads, 256 connections and 256KB value size for 12 seconds with mtu 9000
throughput: 88.56 Gbps
### Running wrk with 8 cores and 32 client threads, 512 connections and 256KB value size for 12 seconds with mtu 9000
throughput: 82.08 Gbps
### Running wrk with 8 cores and 64 client threads, 128 connections and 256KB value size for 12 seconds with mtu 9000
throughput: 89.92 Gbps
### Running wrk with 8 cores and 64 client threads, 256 connections and 256KB value size for 12 seconds with mtu 9000
throughput: 85.6 Gbps
### Running wrk with 8 cores and 64 client threads, 512 connections and 256KB value size for 12 seconds with mtu 9000
throughput: 81.2 Gbps
all done
