throughput: 7.304 Gbps
### Running wrk with 8 cores and 64 client threads, 256 connections and 16KB value size for 8 seconds with mtu 4000
throughput: 8.744 Gbps
### Running wrk with 8 cores and 64 client threads, 512 connections and 16KB value size for 8 seconds with mtu 4000
throughput: 9.568 Gbps
### Running wrk with 8 cores and 64 client threads, 1024 connections and 16KB value size for 8 seconds with mtu 4000
throughput: 9.401 Gbps
### Running wrk with 8 cores and 128 client threads, 256 connections and 16KB value size for 8 seconds with mtu 4000
throughput: 9.303 Gbps
### Running wrk with 8 cores and 128 client threads, 512 connections and 16KB value size for 8 seconds with mtu 4000
throughput: 9.597 Gbps
### Running wrk with 8 cores and 128 client threads, 1024 connections and 16KB value size for 8 seconds with mtu 4000
throughput: 8.672 Gbps
### Running wrk with 8 cores and 256 client threads, 512 connections and 16KB value size for 8 seconds with mtu 4000
throughput: 9.809 Gbps
### Running wrk with 8 cores and 256 client threads, 1024 connections and 16KB value size for 8 seconds with mtu 4000
throughput: 7.831 Gbps
new value: 32
### Running wrk with 8 cores and 16 client threads, 32 connections and 32KB value size for 8 seconds with mtu 4000
throughput: 12.504 Gbps
### Running wrk with 8 cores and 16 client threads, 64 connections and 32KB value size for 8 seconds with mtu 4000
throughput: 16.32 Gbps
### Running wrk with 8 cores and 16 client threads, 128 connections and 32KB value size for 8 seconds with mtu 4000
throughput: 18.079 Gbps
### Running wrk with 8 cores and 16 client threads, 256 connections and 32KB value size for 8 seconds with mtu 4000
throughput: 17.948 Gbps
### Running wrk with 8 cores and 16 client threads, 512 connections and 32KB value size for 8 seconds with mtu 4000
throughput: 15.287 Gbps
### Running wrk with 8 cores and 16 client threads, 1024 connections and 32KB value size for 8 seconds with mtu 4000
throughput: 16.361 Gbps
### Running wrk with 8 cores and 32 client threads, 64 connections and 32KB value size for 8 seconds with mtu 4000
throughput: 12.529 Gbps
### Running wrk with 8 cores and 32 client threads, 128 connections and 32KB value size for 8 seconds with mtu 4000
throughput: 16.425 Gbps
### Running wrk with 8 cores and 32 client threads, 256 connections and 32KB value size for 8 seconds with mtu 4000
throughput: 15.575 Gbps
### Running wrk with 8 cores and 32 client threads, 512 connections and 32KB value size for 8 seconds with mtu 4000
throughput: 15.424 Gbps
### Running wrk with 8 cores and 32 client threads, 1024 connections and 32KB value size for 8 seconds with mtu 4000
throughput: 15.07 Gbps
### Running wrk with 8 cores and 64 client threads, 128 connections and 32KB value size for 8 seconds with mtu 4000
throughput: 14.256 Gbps
### Running wrk with 8 cores and 64 client threads, 256 connections and 32KB value size for 8 seconds with mtu 4000
throughput: 16.776 Gbps
### Running wrk with 8 cores and 64 client threads, 512 connections and 32KB value size for 8 seconds with mtu 4000
throughput: 20.893 Gbps
### Running wrk with 8 cores and 64 client threads, 1024 connections and 32KB value size for 8 seconds with mtu 4000
throughput: 18.397 Gbps
### Running wrk with 8 cores and 128 client threads, 256 connections and 32KB value size for 8 seconds with mtu 4000
throughput: 15.097 Gbps
### Running wrk with 8 cores and 128 client threads, 512 connections and 32KB value size for 8 seconds with mtu 4000
throughput: 14.827 Gbps
### Running wrk with 8 cores and 128 client threads, 1024 connections and 32KB value size for 8 seconds with mtu 4000
throughput: 15.068 Gbps
### Running wrk with 8 cores and 256 client threads, 512 connections and 32KB value size for 8 seconds with mtu 4000
throughput: 19.546 Gbps
### Running wrk with 8 cores and 256 client threads, 1024 connections and 32KB value size for 8 seconds with mtu 4000
throughput: 15.251 Gbps
new value: 64
### Running wrk with 8 cores and 16 client threads, 32 connections and 64KB value size for 8 seconds with mtu 4000
throughput: 27.671 Gbps
### Running wrk with 8 cores and 16 client threads, 64 connections and 64KB value size for 8 seconds with mtu 4000
throughput: 28.892 Gbps
### Running wrk with 8 cores and 16 client threads, 128 connections and 64KB value size for 8 seconds with mtu 4000
throughput: 35.371 Gbps
### Running wrk with 8 cores and 16 client threads, 256 connections and 64KB value size for 8 seconds with mtu 4000
throughput: 31.226 Gbps
### Running wrk with 8 cores and 16 client threads, 512 connections and 64KB value size for 8 seconds with mtu 4000
throughput: 39.209 Gbps
### Running wrk with 8 cores and 16 client threads, 1024 connections and 64KB value size for 8 seconds with mtu 4000
throughput: 28.749 Gbps
### Running wrk with 8 cores and 32 client threads, 64 connections and 64KB value size for 8 seconds with mtu 4000
throughput: 31.01 Gbps
