new value: 4
### Running wrk with 5 cores and 16 client threads, 32 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 3.487 Gbps
### Running wrk with 5 cores and 16 client threads, 64 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 5.064 Gbps
### Running wrk with 5 cores and 16 client threads, 128 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 6.027 Gbps
### Running wrk with 5 cores and 16 client threads, 256 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 5.837 Gbps
### Running wrk with 5 cores and 16 client threads, 512 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 5.66 Gbps
### Running wrk with 5 cores and 16 client threads, 1024 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 5.002 Gbps
### Running wrk with 5 cores and 32 client threads, 64 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 3.821 Gbps
### Running wrk with 5 cores and 32 client threads, 128 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 4.397 Gbps
### Running wrk with 5 cores and 32 client threads, 256 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 4.586 Gbps
### Running wrk with 5 cores and 32 client threads, 512 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 4.547 Gbps
### Running wrk with 5 cores and 32 client threads, 1024 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 4.031 Gbps
### Running wrk with 5 cores and 64 client threads, 128 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 3.95 Gbps
### Running wrk with 5 cores and 64 client threads, 256 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 3.881 Gbps
### Running wrk with 5 cores and 64 client threads, 512 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 4.031 Gbps
### Running wrk with 5 cores and 64 client threads, 1024 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 3.708 Gbps
### Running wrk with 5 cores and 128 client threads, 256 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 3.786 Gbps
### Running wrk with 5 cores and 128 client threads, 512 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 3.671 Gbps
### Running wrk with 5 cores and 128 client threads, 1024 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 3.631 Gbps
### Running wrk with 5 cores and 256 client threads, 512 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 3.398 Gbps
### Running wrk with 5 cores and 256 client threads, 1024 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 3.3 Gbps
new value: 8
### Running wrk with 5 cores and 16 client threads, 32 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 3.974 Gbps
### Running wrk with 5 cores and 16 client threads, 64 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 5.4 Gbps
### Running wrk with 5 cores and 16 client threads, 128 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 6.453 Gbps
### Running wrk with 5 cores and 16 client threads, 256 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 6.636 Gbps
### Running wrk with 5 cores and 16 client threads, 512 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 6.11 Gbps
### Running wrk with 5 cores and 16 client threads, 1024 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 5.513 Gbps
### Running wrk with 5 cores and 32 client threads, 64 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 5.307 Gbps
### Running wrk with 5 cores and 32 client threads, 128 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 6.431 Gbps
### Running wrk with 5 cores and 32 client threads, 256 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 6.884 Gbps
### Running wrk with 5 cores and 32 client threads, 512 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 5.994 Gbps
### Running wrk with 5 cores and 32 client threads, 1024 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 5.766 Gbps
### Running wrk with 5 cores and 64 client threads, 128 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 6.199 Gbps
### Running wrk with 5 cores and 64 client threads, 256 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 6.436 Gbps
### Running wrk with 5 cores and 64 client threads, 512 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 6.243 Gbps
### Running wrk with 5 cores and 64 client threads, 1024 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 5.493 Gbps
### Running wrk with 5 cores and 128 client threads, 256 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 6.459 Gbps
### Running wrk with 5 cores and 128 client threads, 512 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 6.049 Gbps
### Running wrk with 5 cores and 128 client threads, 1024 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 5.487 Gbps
### Running wrk with 5 cores and 256 client threads, 512 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 6.109 Gbps
### Running wrk with 5 cores and 256 client threads, 1024 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 5.742 Gbps
new value: 16
### Running wrk with 5 cores and 16 client threads, 32 connections and 16KB value size for 5 seconds with mtu 4000
throughput: 7.559 Gbps
### Running wrk with 5 cores and 16 client threads, 64 connections and 16KB value size for 5 seconds with mtu 4000
throughput: 10.56 Gbps
### Running wrk with 5 cores and 16 client threads, 128 connections and 16KB value size for 5 seconds with mtu 4000
throughput: 12.316 Gbps
### Running wrk with 5 cores and 16 client threads, 256 connections and 16KB value size for 5 seconds with mtu 4000
throughput: 12.885 Gbps
### Running wrk with 5 cores and 16 client threads, 512 connections and 16KB value size for 5 seconds with mtu 4000
throughput: 12.608 Gbps
### Running wrk with 5 cores and 16 client threads, 1024 connections and 16KB value size for 5 seconds with mtu 4000
throughput: 8.54 Gbps
### Running wrk with 5 cores and 32 client threads, 64 connections and 16KB value size for 5 seconds with mtu 4000
throughput: 10.614 Gbps
### Running wrk with 5 cores and 32 client threads, 128 connections and 16KB value size for 5 seconds with mtu 4000
throughput: 11.874 Gbps
### Running wrk with 5 cores and 32 client threads, 256 connections and 16KB value size for 5 seconds with mtu 4000
throughput: 12.901 Gbps
### Running wrk with 5 cores and 32 client threads, 512 connections and 16KB value size for 5 seconds with mtu 4000
throughput: 12.199 Gbps
### Running wrk with 5 cores and 32 client threads, 1024 connections and 16KB value size for 5 seconds with mtu 4000
throughput: 10.727 Gbps
### Running wrk with 5 cores and 64 client threads, 128 connections and 16KB value size for 5 seconds with mtu 4000
throughput: 12.351 Gbps
### Running wrk with 5 cores and 64 client threads, 256 connections and 16KB value size for 5 seconds with mtu 4000
throughput: 12.473 Gbps
### Running wrk with 5 cores and 64 client threads, 512 connections and 16KB value size for 5 seconds with mtu 4000
throughput: 12.576 Gbps
### Running wrk with 5 cores and 64 client threads, 1024 connections and 16KB value size for 5 seconds with mtu 4000
throughput: 10.398 Gbps
### Running wrk with 5 cores and 128 client threads, 256 connections and 16KB value size for 5 seconds with mtu 4000
throughput: 12.732 Gbps
### Running wrk with 5 cores and 128 client threads, 512 connections and 16KB value size for 5 seconds with mtu 4000
throughput: 12.208 Gbps
