throughput: 37.2 Gbps
### Running wrk with 5 cores and 64 client threads, 128 connections and 64KB value size for 12 seconds with mtu 4000
throughput: 47.36 Gbps
### Running wrk with 5 cores and 64 client threads, 256 connections and 64KB value size for 12 seconds with mtu 4000
throughput: 42.32 Gbps
### Running wrk with 5 cores and 64 client threads, 512 connections and 64KB value size for 12 seconds with mtu 4000
throughput: 38.56 Gbps
new value: 128
### Running wrk with 5 cores and 16 client threads, 64 connections and 128KB value size for 12 seconds with mtu 4000
throughput: 58.8 Gbps
### Running wrk with 5 cores and 16 client threads, 128 connections and 128KB value size for 12 seconds with mtu 4000
throughput: 53.04 Gbps
### Running wrk with 5 cores and 16 client threads, 256 connections and 128KB value size for 12 seconds with mtu 4000
throughput: 50.08 Gbps
### Running wrk with 5 cores and 16 client threads, 512 connections and 128KB value size for 12 seconds with mtu 4000
throughput: 45.2 Gbps
### Running wrk with 5 cores and 32 client threads, 64 connections and 128KB value size for 12 seconds with mtu 4000
throughput: 58.96 Gbps
### Running wrk with 5 cores and 32 client threads, 128 connections and 128KB value size for 12 seconds with mtu 4000
throughput: 53.92 Gbps
### Running wrk with 5 cores and 32 client threads, 256 connections and 128KB value size for 12 seconds with mtu 4000
throughput: 48.4 Gbps
### Running wrk with 5 cores and 32 client threads, 512 connections and 128KB value size for 12 seconds with mtu 4000
throughput: 44.4 Gbps
### Running wrk with 5 cores and 64 client threads, 128 connections and 128KB value size for 12 seconds with mtu 4000
throughput: 52.72 Gbps
### Running wrk with 5 cores and 64 client threads, 256 connections and 128KB value size for 12 seconds with mtu 4000
throughput: 48.88 Gbps
### Running wrk with 5 cores and 64 client threads, 512 connections and 128KB value size for 12 seconds with mtu 4000
throughput: 42.08 Gbps
new value: 256
### Running wrk with 5 cores and 16 client threads, 64 connections and 256KB value size for 12 seconds with mtu 4000
throughput: 62.4 Gbps
### Running wrk with 5 cores and 16 client threads, 128 connections and 256KB value size for 12 seconds with mtu 4000
throughput: 58.64 Gbps
### Running wrk with 5 cores and 16 client threads, 256 connections and 256KB value size for 12 seconds with mtu 4000
throughput: 53.28 Gbps
### Running wrk with 5 cores and 16 client threads, 512 connections and 256KB value size for 12 seconds with mtu 4000
throughput: 46.96 Gbps
### Running wrk with 5 cores and 32 client threads, 64 connections and 256KB value size for 12 seconds with mtu 4000
throughput: 62.24 Gbps
### Running wrk with 5 cores and 32 client threads, 128 connections and 256KB value size for 12 seconds with mtu 4000
throughput: 57.36 Gbps
### Running wrk with 5 cores and 32 client threads, 256 connections and 256KB value size for 12 seconds with mtu 4000
throughput: 52.8 Gbps
### Running wrk with 5 cores and 32 client threads, 512 connections and 256KB value size for 12 seconds with mtu 4000
throughput: 44.32 Gbps
### Running wrk with 5 cores and 64 client threads, 128 connections and 256KB value size for 12 seconds with mtu 4000
throughput: 56.8 Gbps
### Running wrk with 5 cores and 64 client threads, 256 connections and 256KB value size for 12 seconds with mtu 4000
throughput: 51.92 Gbps
### Running wrk with 5 cores and 64 client threads, 512 connections and 256KB value size for 12 seconds with mtu 4000
throughput: 44.72 Gbps
all done
