new value: 4
### Running wrk with 8 cores and 16 client threads, 16 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 5.534 Gbps
### Running wrk with 8 cores and 16 client threads, 32 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 6.039 Gbps
### Running wrk with 8 cores and 16 client threads, 64 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 7.419 Gbps
### Running wrk with 8 cores and 16 client threads, 128 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 8.238 Gbps
### Running wrk with 8 cores and 16 client threads, 256 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 7.764 Gbps
### Running wrk with 8 cores and 16 client threads, 512 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 6.675 Gbps
### Running wrk with 8 cores and 32 client threads, 32 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 4.423 Gbps
### Running wrk with 8 cores and 32 client threads, 64 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 5.68 Gbps
### Running wrk with 8 cores and 32 client threads, 128 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 6.345 Gbps
### Running wrk with 8 cores and 32 client threads, 256 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 6.074 Gbps
### Running wrk with 8 cores and 32 client threads, 512 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 5.578 Gbps
### Running wrk with 8 cores and 64 client threads, 64 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 4.658 Gbps
### Running wrk with 8 cores and 64 client threads, 128 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 5.084 Gbps
### Running wrk with 8 cores and 64 client threads, 256 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 5.274 Gbps
### Running wrk with 8 cores and 64 client threads, 512 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 4.813 Gbps
### Running wrk with 8 cores and 128 client threads, 128 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 4.01 Gbps
### Running wrk with 8 cores and 128 client threads, 256 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 4.316 Gbps
### Running wrk with 8 cores and 128 client threads, 512 connections and 4KB value size for 5 seconds with mtu 4000
throughput: 4.581 Gbps
new value: 8
### Running wrk with 8 cores and 16 client threads, 16 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 4.137 Gbps
### Running wrk with 8 cores and 16 client threads, 32 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 5.788 Gbps
### Running wrk with 8 cores and 16 client threads, 64 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 7.896 Gbps
### Running wrk with 8 cores and 16 client threads, 128 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 7.148 Gbps
### Running wrk with 8 cores and 16 client threads, 256 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 7.921 Gbps
### Running wrk with 8 cores and 16 client threads, 512 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 7.351 Gbps
### Running wrk with 8 cores and 32 client threads, 32 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 6.085 Gbps
### Running wrk with 8 cores and 32 client threads, 64 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 7.15 Gbps
### Running wrk with 8 cores and 32 client threads, 128 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 7.453 Gbps
### Running wrk with 8 cores and 32 client threads, 256 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 7.832 Gbps
### Running wrk with 8 cores and 32 client threads, 512 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 8.16 Gbps
### Running wrk with 8 cores and 64 client threads, 64 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 6.651 Gbps
### Running wrk with 8 cores and 64 client threads, 128 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 7.453 Gbps
### Running wrk with 8 cores and 64 client threads, 256 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 7.978 Gbps
### Running wrk with 8 cores and 64 client threads, 512 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 7.493 Gbps
### Running wrk with 8 cores and 128 client threads, 128 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 6.823 Gbps
### Running wrk with 8 cores and 128 client threads, 256 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 7.245 Gbps
### Running wrk with 8 cores and 128 client threads, 512 connections and 8KB value size for 5 seconds with mtu 4000
throughput: 6.898 Gbps
new value: 16
### Running wrk with 8 cores and 16 client threads, 16 connections and 16KB value size for 5 seconds with mtu 4000
throughput: 8.476 Gbps
### Running wrk with 8 cores and 16 client threads, 32 connections and 16KB value size for 5 seconds with mtu 4000
throughput: 10.761 Gbps
### Running wrk with 8 cores and 16 client threads, 64 connections and 16KB value size for 5 seconds with mtu 4000
throughput: 11.777 Gbps
### Running wrk with 8 cores and 16 client threads, 128 connections and 16KB value size for 5 seconds with mtu 4000
throughput: 12.985 Gbps
### Running wrk with 8 cores and 16 client threads, 256 connections and 16KB value size for 5 seconds with mtu 4000
throughput: 14.805 Gbps
### Running wrk with 8 cores and 16 client threads, 512 connections and 16KB value size for 5 seconds with mtu 4000
throughput: 13.689 Gbps
### Running wrk with 8 cores and 32 client threads, 32 connections and 16KB value size for 5 seconds with mtu 4000
throughput: 11.036 Gbps
### Running wrk with 8 cores and 32 client threads, 64 connections and 16KB value size for 5 seconds with mtu 4000
throughput: 12.734 Gbps
